Codigo,Descricao,Categoria,Quantidade,Local,Sublocal,Tecido,Cristais,Eletricista
002-0002,ALMOFADA BEGE MESCLADA COM PINGENTE,ALMOFADA,2,Loja,Setor Comercial,0,0,0
002-0003,ALMOFADA DE BOLINHA FUTON CREME,ALMOFADA,10,Loja,Area do Galpao,0,0,0
002-0004,ALMOFADA DE BOLINHA FUTON LARANJA,ALMOFADA,4,Armazem 500,Armazem 500,0,0,0
002-0005,ALMOFADA DE BOLINHA FUTON MARROM,ALMOFADA,7,Loja,Area do Galpao,0,0,0
002-0006,ALMOFADA DE BOLINHA FUTON PINK,ALMOFADA,7,Loja,Sala Alberto Serruya,0,0,0
002-0007,ALMOFADA DE BOLINHA FUTON VERDE,ALMOFADA,11,Galpao,Setor 3,1,0,0
002-0008,ALMOFADA BOLOGNE SERIGRAFADA MARROM,ALMOFADA,4,Galpao,Setor 2,0,0,0
002-0009,ALMOFADA MILLE,ALMOFADA,1,Loja,Sala Alberto Serruya,0,1,0
002-0010,ALMOFADA PELE DE ONÇA,ALMOFADA,2,Galpao,Setor 3,0,0,0
002-0011,ALMOFADA QUADRADA LILÁS,ALMOFADA,2,Maison Blue,Maison Blue,0,0,0
002-0012,ALMOFADA REDONDA LILÁS,ALMOFADA,1,Loja,Area da Entrada,0,0,0
002-0013,ALMOFADA RETANGULAR MARROM,ALMOFADA,2,Galpao,Setor 2,0,0,0
002-0014,ALMOFADA RETANGULAR VINHO,ALMOFADA,2,Loja,Area do Galpao,0,0,0
002-0015,ALMOFADA TICODO BROCADO ROSA BEBÊ,ALMOFADA,3,Loja,Area do Galpao,0,0,0
002-0016,ALMOFADAS TIPO ONÇA,ALMOFADA,9,Galpao,Setor 2,0,0,0
002-0017,ROLO VINHO,ALMOFADA,2,Loja,Area do Galpao,0,0,0
002-0018,ALMOFADA COR GRAFITE,ALMOFADA,10,Galpao,Setor 3,0,0,0
002-0019,ALMOFADA RETANGULAR VERMELHA,ALMOFADA,4,Galpao,Setor 3,0,0,0
002-0020,ALMOFADA MARROM CLARO COM FIO AO REDOR,ALMOFADA,2,Armazem 500,Armazem 500,0,0,0
003-0001,APARADOR BISTRÔ DOURADO (DOURADO RETO),APARADORES,1,Loja,Area do Galpao,0,0,0
003-0002,APARADOR DE FERRO,APARADORES,1,Loja,Area do Galpao,0,0,0
003-0003,APARADOR DE MADEIRA RÚSTICO (PÉ DE FERRO),APARADORES,4,Loja,Setor Comercial,0,0,0
003-0004,APARADOR DOURADO TRABALHADO (GRANDE BONITÃO),APARADORES,1,Loja,Area do Galpao,0,0,0
003-0005,APARADOR EM MDF BRANCO (PEQUENO),APARADORES,1,Maison Blue,Maison Blue,0,0,0
003-0006,APARADOR ESPELHADO (ARTEFACTO),APARADORES,1,Loja,Area da Entrada,0,0,0
003-0007,APARADOR ESPELHADO PE PRETO,APARADORES,1,Maison Blue,Maison Blue,0,0,0
003-0008,APARADOR ESPELHADO TRABALHADO BISOTADO,APARADORES,1,Loja,Area do Galpao,0,0,0
003-0009,APARADOR INOX E VIDRO,APARADORES,1,Maison Blue,Maison Blue,0,0,1
003-0010,APARADOR INOX METALON,APARADORES,1,Loja,Area do Galpao,0,0,0
003-0011,APARADOR INOX TAMPO DE VIDRO ESPELHADO,APARADORES,2,Loja,Area do Galpao,0,0,0
003-0012,APARADOR INOX COM TAMPO DE VIDRO MARROM,APARADORES,2,Galpao,Setor 2,0,0,1
003-0013,APARADOR EM MADEIRA BRANCO COM BORDA EM ARAME,APARADORES,2,Loja,Area do Galpao,0,0,0
003-0014,APARADOR EM MADEIRA TRABALHADA BRANCO 2 GAVETAS E 1 PRATELEIRA,APARADORES,3,Galpao,Setor 2,0,0,0
003-0015,APARADOR MARIZA PRADO NOVO,APARADORES,2,Loja,Area do Galpao,0,0,0
003-0016,APARADOR AZUL TIFANNY,APARADORES,1,Loja,Area da Entrada,0,0,0
003-0017,APARADOR PINUS CM MARROM,APARADORES,1,Armazem 500,Armazem 500,0,0,0
003-0018,APARADOR SEVILHA PRETO (EM VIDRO),APARADORES,1,Armazem 500,Armazem 500,0,0,0
003-0019,APARADOR SEVILHA PRETO ESPELHADO T. GLASS,APARADORES,1,Galpao,Setor 4,0,0,0
003-0020,APARADOR SEVILHA VERMELHO ESPELHADO,APARADORES,1,Loja,Sala Alberto Serruya,0,0,0
003-0021,APARADOR THIN BLACK POWER (PRANCHA PRETO),APARADORES,1,Loja,Area da Entrada,0,0,0
003-0022,APARADOR DOURADO ESTILO COLONIAL (IGUAL A MESA),APARADORES,2,Loja,Area do Galpao,0,0,0
003-0023,APARADOR TAMPO EM MADEIRA (ARTEFACTO),APARADORES,1,Galpao,Setor 3,0,0,0
003-0024,APARADOR BAIXO COR CINZA,APARADORES,1,Galpao,Setor 1,0,0,0
003-0025,APARADOR BRANCO COM TAMPO BRANCO,APARADORES,1,Loja,Area do Galpao,0,0,0
003-0026,APARADOR TODO MADEIRA,APARADORES,1,Galpao,Setor 1,0,0,0
003-0027,APARADOR PRETO ARTEFACTO,APARADORES,1,Armazem 500,Armazem 500,0,0,0
003-0028,APARADOR EM MADEIRA DOURADO COM REVESTIMENTO EM MÁRMORE,APARADORES,2,Loja,Area do Galpao,0,0,0
004-0001,ARANDELA 5 LÂMPADAS DOURADA TIPO ESPADA,ARANDELAS,2,Loja,Area da Entrada,0,0,0
004-0002,ARANDELA PRATA DUAS CÚPULAS DE VIDRO,ARANDELAS,4,Loja,Area do Galpao,0,0,0
004-0003,CANTONEIRA DOURADA 2 CÚPULAS,ARANDELAS,2,Loja,Area da Entrada,0,0,0
005-0001,ARMÁRIO EM MADEIRA MARROM,ARMÁRIOS,2,Galpao,Setor 3,0,0,0
005-0002,ARMÁRIO EM MADEIRA TRABALHADA COM 5 PRATELEIRAS BRANCAS,ARMÁRIOS,2,Galpao,Setor 3,0,0,0
005-0003,ARMÁRIO EM MDF PRATELEIRAS DE VIDRO FLOR DE LIS BRANCA,ARMÁRIOS,2,Galpao,Setor 4,0,0,0
005-0004,ARMÁRIO EM MDF COM A LATERAL TRABALHADA COM 4 PRATELEIRAS,ARMÁRIOS,8,Maison Blue,Maison Blue,0,0,0
005-0005,ARMÁRIO PRETO ESPELHADO (SALA ALBERTO),ARMÁRIOS,1,Galpao,Setor 4,0,0,0
005-0006,CHAPELEIRA EM MDF BRANCA,ARMÁRIOS,1,Loja,Area do Galpao,0,0,0
005-0007,ESTANTE DE FERRO 4 NÍVEIS (DE CANTO),ARMÁRIOS,1,Loja,Area do Galpao,0,0,0
005-0008,ESTANTE DE FERRO ARABESCO 4 NÍVEIS,ARMÁRIOS,1,Loja,Area da Entrada,0,0,0
005-0009,ESTANTE EM FERRO TRABALHADO COR MARROM,ARMÁRIOS,1,Loja,Area do Galpao,1,0,0
006-0001,ÁRVORE DE FERRO GRANDE,ÁRVORES,15,Armazem 500,Armazem 500,0,0,0
006-0002,ÁRVORE DE LED (PEQUENA),ÁRVORES,10,Loja,Setor Comercial,1,0,0
006-0003,ÁRVORE DE LED (GRANDE),ÁRVORES,4,Maison Blue,Maison Blue,1,0,0
006-0004,ÁRVORE DE NATAL GALHOS SECOS,ÁRVORES,10,Loja,Area da Entrada,0,0,0
007-0001,BANDEJA DE PRATA BORDA ONDULADA (0.60 CM),BANDEJAS,4,Loja,Area do Galpao,0,0,0
007-0002,BANDEJA DE PRATA BORDA ONDULADA (0.80 CM),BANDEJAS,2,Galpao,Setor 2,1,0,0
007-0003,BANDEJA ESPELHADA DOURADA MIÇANGA,BANDEJAS,2,Loja,Area do Galpao,0,0,0
007-0004,BANDEJA ESPELHADA EM QUADRADINHO (GRANDE),BANDEJAS,16,Loja,Area do Galpao,0,0,0
007-0005,BANDEJA FERNANDO PRADO (DOURADA ESPELHADA),BANDEJAS,2,Loja,Setor Comercial,0,0,0
007-0006,BANDEJA FERNANDO PRADO (PRATA ESPELHADA),BANDEJAS,2,Galpao,Setor 3,0,0,0
007-0007,BANDEJA FLOR PRA SUSHI PRETA,BANDEJAS,1,Loja,Area do Galpao,0,0,0
007-0008,BANDEJA JUDAICA KEARÁ QUADRADA,BANDEJAS,0,Loja,Area do Galpao,0,0,0
007-0009,BANDEJA MARIZA PRADO DOURADA ESPELHADA,BANDEJAS,2,Loja,Area do Galpao,0,0,1
007-0010,BANDEJA MARIZA PRADO PRATA ESPELHADA,BANDEJAS,2,Galpao,Setor 3,0,0,0
007-0011,BANDEJA EM MDF TRABALHADA RETANGULAR (GRANDE),BANDEJAS,1,Loja,Setor Comercial,0,0,0
007-0012,BANDEJA EM MDF TRABALHADA RETANGULAR (MÉDIA),BANDEJAS,1,Galpao,Setor 2,0,0,0
007-0013,BANDEJA DE PRATA ESPELHADA COM PEROLA,BANDEJAS,9,Maison Blue,Maison Blue,0,0,0
007-0014,BANDEJA REDONDA COM DETALHES EM VERMELHO,BANDEJAS,2,Galpao,Setor 3,0,0,0
007-0015,BANDEJA TEPHANE RETANGULAR,BANDEJAS,8,Loja,Area da Entrada,0,0,0
007-0016,BANDEJA TEPHANE QUADRADA,BANDEJAS,8,Galpao,Setor 3,0,0,0
007-0017,PRATO DE PORCELANA QUADRADO (GRANDE),BANDEJAS,1,Galpao,Setor 2,0,0,0
007-0018,PRATO DE VIDRO QUADRADO,BANDEJAS,1,Loja,Area do Galpao,0,0,0
007-0019,PRATO DE VIDRO QUADRADO MOSAICO VERDE,BANDEJAS,5,Armazem 500,Armazem 500,0,0,0
007-0020,PRATO DE VIDRO REDONDO DOURADO (GRANDE),BANDEJAS,1,Loja,Area da Entrada,1,0,0
007-0021,BANDEJA QUADRADA LINHA OURO (MÉDIA),BANDEJAS,4,Galpao,Setor 3,0,0,0
007-0022,BANDEJA QUADRADA LINHA OURO (GRANDE),BANDEJAS,4,Loja,Area do Galpao,0,0,0
007-0023,BANDEJA REDONDA DA LINHA OURO (GRANDE),BANDEJAS,4,Loja,Area do Galpao,0,0,0
007-0024,BANDEJA REDONDA DA LINHA OURO (MÉDIA),BANDEJAS,4,Armazem 500,Armazem 500,0,0,0
007-0025,BANDEJA REDONDA DA LINHA OURO (PEQUENA),BANDEJAS,4,Loja,Area do Galpao,0,0,0
007-0026,BANDEJA ESPELHADA EM QUADRADINHO (PEQUENA),BANDEJAS,14,Maison Blue,Maison Blue,0,0,0
007-0027,BANDEJA REDONDA COM PÉROLAS (PEQUENA E MÉDIA),BANDEJAS,10,Loja,Area da Entrada,0,0,0
007-0028,BANDEJA EM PRATA E VIDRO RETANGULAR DA LINHA CRISTAL,BANDEJAS,8,Loja,Area da Entrada,0,0,0
007-0029,BANDEJA QUADRADA DA LINHA CRISTAL PRATA,BANDEJAS,8,Galpao,Setor 3,0,1,0
007-0030,BANDEJA RETANGULAR DA LINHA CRISTAL PRATA (PEQUENA),BANDEJAS,4,Loja,Area do Galpao,0,0,0
007-0031,"BANDEJA REDONDA DA LINHA CRISTAL PRATA (P, M, G)",BANDEJAS,10,Armazem 500,Armazem 500,0,0,0
007-0032,BANDEJA OVAL DA LINHA CRISTAL PRATA (MÉDIA E GRANDE),BANDEJAS,6,Loja,Area da Entrada,1,0,0
008-0001,BANQUETA EM CONCHA AR COMPRIMIDO PRATA,BANQUETAS,14,Galpao,Setor 2,0,0,0
008-0002,BANQUETA EM CONCHA AR COMPRIMIDO PRETA,BANQUETAS,1,Maison Blue,Maison Blue,0,0,0
008-0003,BANQUETA EM CONCHA AR COMPRIMIDO VERMELHA,BANQUETAS,2,Maison Blue,Maison Blue,0,0,0
008-0004,BANQUETA EM ACRÍLICO E PRATA,BANQUETAS,18,Loja,Sala Alberto Serruya,0,0,0
008-0005,BANQUETA EM VIME COM ESTUFADO,BANQUETAS,10,Galpao,Setor 2,0,0,0
008-0006,BANQUETA BAIXA ESTOFADO ALTO RELEVO PÉ BRANCO,BANQUETAS,4,Maison Blue,Maison Blue,0,0,0
008-0007,"BANQUETAS EM ACRÍLICO VERMELHA (P, M, G)",BANQUETAS,9,Loja,Area do Galpao,0,0,0
009-0001,BASE DE BOLO DOURADA (40 CM),BASE PARA BOLO,2,Galpao,Setor 3,0,0,0
009-0002,BASE DE BOLO DOURADA (50 CM),BASE PARA BOLO,2,Galpao,Setor 1,0,0,0
009-0003,BASE DE BOLO DOURADA (60 CM),BASE PARA BOLO,2,Armazem 500,Armazem 500,0,0,0
009-0004,"BASE DE BOLO ROSA BEBÊ (P, M, G)",BASE PARA BOLO,3,Galpao,Setor 1,0,0,0
009-0005,BASE DE BOLO PRATEADA (40 CM),BASE PARA BOLO,1,Loja,Area do Galpao,0,0,0
009-0006,BASE DE BOLO PRATEADA (50 CM),BASE PARA BOLO,2,Loja,Area do Galpao,0,0,0
009-0007,BASE DE BOLO PRATEADA (60 CM),BASE PARA BOLO,2,Galpao,Setor 1,0,0,0
009-0008,BASE DE BOLO PRATA RENDADA (50 CM),BASE PARA BOLO,1,Loja,Area do Galpao,0,0,0
010-0001,"BASE DE FERRO GRANDE (0,78 x 1,00)",BASE DE MESA,12,Loja,Area da Entrada,0,1,0
010-0002,BASE DE MESA DE FERRO COR BRANCA,BASE DE MESA,1,Loja,Area do Galpao,0,0,0
010-0003,BASE DE MESA DE FERRO TRELISADA,BASE DE MESA,1,Loja,Sala Alberto Serruya,0,0,0
010-0004,BASE DE MESA EM MADEIRA PÉ DE GIRAFA,BASE DE MESA,1,Maison Blue,Maison Blue,0,0,0
010-0005,BASE DE MESA PRETA VAZADA DESENHO CORAÇÃO,BASE DE MESA,1,Armazem 500,Armazem 500,0,0,0
010-0006,"BASE DE METAL MEDIA NOVA (0,60 x 0,65)",BASE DE MESA,NA,Loja,Area do Galpao,0,0,1
010-0007,BASE DE METAL ANTIGA MÉDIA (0.55 x 0.78),BASE DE MESA,NA,Loja,Area do Galpao,0,0,1
010-0008,BASE DE METAL ANTIGA PEQUENA (0.35 x 0.75),BASE DE MESA,NA,Galpao,Setor 2,0,0,0
010-0009,BASE DE METAL GRANDE (0.75 x 0.86),BASE DE MESA,NA,Loja,Area do Galpao,1,0,0
010-0010,BASE DE VIME AMARELA,BASE DE MESA,2,Loja,Area da Entrada,0,0,0
010-0011,BASE DE VIME BRANCA,BASE DE MESA,1,Loja,Area do Galpao,0,0,0
010-0012,BASE DE MESA MARROM VAZADA DESENHO CORAÇÃO,BASE DE MESA,1,Loja,Area do Galpao,0,0,0
011-0001,BASE REDONDA ESPELHADA (PEQUENA),BASE DE VIDRO,6,Armazem 500,Armazem 500,0,0,0
011-0002,BASE REV. PIRÂMIDE ESPELHADA BRANCA (50 x 50 x 74 CM),BASE DE VIDRO,2,Galpao,Setor 2,0,0,0
011-0003,BASE REV. PIRÂMIDE ESPELHADA PRATA M (50 x 50 x 74 CM),BASE DE VIDRO,2,Maison Blue,Maison Blue,0,0,0
011-0004,BASE REV. PIRÂMIDE ESPELHADA PRETA M (50 x 50 x 74 CM),BASE DE VIDRO,2,Galpao,Setor 2,0,0,0
011-0005,BASE REV. PIRÂMIDE ESPELHADA VERMELHA (50 x 50 x 74 CM),BASE DE VIDRO,2,Loja,Area da Entrada,0,0,0
011-0006,BASE REV. PIRÂMIDE ESPELHADA BRONZE (50 x 50 x 74 CM),BASE DE VIDRO,2,Loja,Area do Galpao,0,0,0
011-0007,BASE REV. PIRÂMIDE ESPELHADA PRATA G (60 x 60 x 74 CM),BASE DE VIDRO,2,Armazem 500,Armazem 500,0,0,0
011-0008,BASE REV. PIRÂMIDE ESPELHADA PRETA G (60 x 60 x 74 CM),BASE DE VIDRO,1,Loja,Sala Alberto Serruya,1,0,0
012-0001,BIOMBO ARTISTA MULHER,BIOMBO,1,Galpao,Setor 2,0,0,0
012-0002,BIOMBO ARTISTA HOMEM,BIOMBO,1,Galpao,Setor 1,0,0,0
012-0003,BIOMBO BEGE ARTEFACTO,BIOMBO,1,Galpao,Setor 3,0,0,0
012-0004,BIOMBO DE CRISTAL E MIÇANGAS TRANSPARENTE,BIOMBO,4,Loja,Area da Entrada,0,0,0
012-0005,BIOMBO DE FERRO COM MIÇANGAS,BIOMBO,1,Armazem 500,Armazem 500,0,0,0
012-0006,BIOMBO DE FERRO DE ENCAIXE (2METROS),BIOMBO,4,Galpao,Setor 3,0,0,0
012-0007,BIOMBO DE FERRO DE ENCAIXE (3 METROS),BIOMBO,2,Galpao,Setor 3,0,0,0
012-0008,BIOMBO DE FERRO DE ENCAIXE (4 METROS),BIOMBO,8,Loja,Area do Galpao,0,0,0
012-0009,BIOMBO DE FERRO,BIOMBO,2,Galpao,Setor 3,0,0,0
012-0010,BIOMBO DE MADEIRA E VIDRO PORTA FOTOS,BIOMBO,1,Galpao,Setor 2,0,0,0
012-0011,BIOMBO EM MADEIRA FLORES BRANCO,BIOMBO,2,Loja,Area da Entrada,0,0,0
012-0012,BIOMBO FOLHA PRATA,BIOMBO,2,Galpao,Setor 1,0,0,0
012-0013,BIOMBO MANDALA MARROM,BIOMBO,1,Loja,Area do Galpao,0,0,0
012-0014,BIOMBO MARROM PASTILHADO,BIOMBO,2,Loja,Area do Galpao,0,0,0
012-0015,BIOMBO PARIS,BIOMBO,1,Loja,Area do Galpao,1,0,0
012-0016,BIOMBO MANDALA PRATA,BIOMBO,1,Loja,Area da Entrada,0,0,0
012-0017,BIOMBO BROCADO CINZA,BIOMBO,1,Galpao,Setor 2,1,0,0
012-0018,BIOMBO MARROM DE VELUDO,BIOMBO,1,Loja,Area do Galpao,0,0,0
013-0001,CACHEPOT DE BAMBU,CACHEPOT,8,Loja,Area do Galpao,0,0,0
013-0002,CACHEPOT DE CERÂMICA ALÇA TIPO CESTA,CACHEPOT,10,Loja,Area do Galpao,1,0,0
013-0003,CACHEPOT DE CERÂMICA COM BORDA,CACHEPOT,6,Loja,Area da Entrada,0,0,0
013-0004,CACHEPOT DE CERÂMICA OVAL (M),CACHEPOT,6,Loja,Area do Galpao,0,0,0
013-0005,CACHEPOT DE CERÂMICA OVAL (P),CACHEPOT,5,Loja,Area do Galpao,0,0,0
013-0006,"CACHEPOT DE MADEIRA (1,10 x 0,45)",CACHEPOT,6,Armazem 500,Armazem 500,0,0,0
013-0007,CACHEPOT DE MADEIRA BRANCO (60 CM),CACHEPOT,5,Galpao,Setor 3,0,0,0
013-0008,CACHEPOT DE MADEIRA BRANCO (40 CM),CACHEPOT,5,Galpao,Setor 2,0,0,0
013-0009,CACHEPOT DE METAL ÁRABE GRANDE,CACHEPOT,1,Loja,Area do Galpao,0,0,0
013-0010,CACHEPOT DE METAL QUADRADO VAZADO TRABALHADO FLOR (C264),CACHEPOT,1,Loja,Area do Galpao,0,0,0
013-0011,CACHEPOT DE METAL QUADRADO VAZADO TRABALHADO FLOR (C263),CACHEPOT,2,Galpao,Setor 2,0,0,0
013-0012,"CACHEPOT DE VIDRO (0,45 x 0,30)",CACHEPOT,8,Loja,Area do Galpao,0,0,0
013-0013,CACHEPOT DE VIDRO QUADRADO (AQUÁRIO),CACHEPOT,6,Galpao,Setor 1,0,0,0
013-0014,"CACHEPOT DE VIDRO ESTILO SINO (0,22 x 0,21 x 0,12)",CACHEPOT,4,Loja,Area da Entrada,0,0,0
013-0015,CACHEPOT ILUMINADO PLÁSTICO BRANCO (90 CM),CACHEPOT,20,Loja,Area do Galpao,0,0,0
013-0016,CACHEPOT REVESTIDO ESPELHO BRANCO (45 x 45 x 60),CACHEPOT,4,Loja,Area do Galpao,1,0,0
013-0017,CACHEPOT ESPELHADO MÉDIO (45 x 45 x 60),CACHEPOT,2,Loja,Area do Galpao,0,0,0
013-0018,CACHEPOT REVESTIDO ESPELHO PRETO (45 x 45 x 60),CACHEPOT,10,Loja,Area do Galpao,0,0,0
013-0019,CACHEPOT REVESTIDO ESPELHO VERMELHO (45 x 45 x 60),CACHEPOT,2,Galpao,Setor 3,0,0,0
013-0020,CACHEPOT ESPELHADO GRANDE (45 x 45 x 80),CACHEPOT,1,Loja,Area do Galpao,0,0,0
013-0021,CACHEPOT VIDRO TRANSPARENTE TAMANHO GRANDE,CACHEPOT,6,Loja,Area da Entrada,0,0,0
013-0022,CAIXA ESPELHADA PEQUENA,CACHEPOT,2,Galpao,Setor 4,0,0,0
013-0023,"CAIXA ESPELHADA MÉDIA (0,21 x 0,21 x 0,21)",CACHEPOT,4,Armazem 500,Armazem 500,0,1,0
013-0024,"CAIXA ESPELHADA (0,35 x 0,35 x 0,10)",CACHEPOT,9,Loja,Area do Galpao,0,0,0
013-0025,JARDINEIRA DE PORCELANA MEIA OVAL,CACHEPOT,8,Loja,Area do Galpao,0,0,1
013-0026,JARDINEIRA DE PORCELANA QUADRADA,CACHEPOT,6,Galpao,Setor 1,0,0,0
013-0027,JARDINEIRA DE PORCELANA RETANGULAR,CACHEPOT,6,Loja,Sala Alberto Serruya,0,0,0
013-0028,JARDINEIRA DE METAL QUADRADA COM BORDA,CACHEPOT,1,Galpao,Setor 3,0,0,0
013-0029,CACHEPOT DE METAL COM 03 PEÇAS BORDA DE CORDA,CACHEPOT,9,Galpao,Setor 4,0,0,0
013-0030,CACHEPOT DE METAL COM 03 PEÇAS C247,CACHEPOT,3,Loja,Area do Galpao,0,0,0
013-0031,CACHEPOT DE METAL COM 03 PEÇAS C248 - RETANGULAR,CACHEPOT,8,Loja,Area da Entrada,0,0,0
013-0032,CACHEPOT DE METAL COM 03 PEÇAS C250 - QUADRADO,CACHEPOT,10,Loja,Area do Galpao,0,0,0
013-0033,CACHEPOT DE METAL COM 03 PEÇAS C251 (ALTO),CACHEPOT,12,Loja,Area do Galpao,0,0,0
013-0034,CACHEPOT DE METAL COM 03 PEÇAS BORDA ONDULADA,CACHEPOT,7,Loja,Area do Galpao,0,0,0
013-0035,CACHEPOT DE METAL COM 03 PEÇAS DETALHES FLORAL GD,CACHEPOT,6,Loja,Area da Entrada,0,0,0
013-0036,CACHEPOT DE METAL COM 03 PEÇAS OVAL,CACHEPOT,8,Loja,Area do Galpao,0,0,0
013-0037,CACHEPOT DE METAL COM 03 PEÇAS PARIS RETANGULAR,CACHEPOT,6,Loja,Area do Galpao,0,0,0
013-0038,CACHEPOT DE METAL RETANGULAR FLOR COM 04 PEÇAS,CACHEPOT,1,Loja,Area do Galpao,0,0,0
013-0039,CACHEPOT PORCELANA ORIENTAL COM PÉ DE MADEIRA,CACHEPOT,1,Galpao,Setor 2,0,0,0
013-0040,CACHEPOT ESTILO JARDINEIRA MADEIRA OVAL BRANCA 03 PEÇAS COM ALÇA,CACHEPOT,4,Loja,Area da Entrada,0,0,0
013-0041,CACHEPOT ESTILO JARDINEIRA METAL COM 03 PEÇAS OVAL,CACHEPOT,1,Loja,Area do Galpao,0,0,0
013-0042,CACHEPOT ESTILO JARDINEIRA DE METAL QUADRADA FLOR COM BORDA,CACHEPOT,1,Armazem 500,Armazem 500,0,0,0
013-0043,CACHEPOT DE MADEIRA MARROM QUADRADO,CACHEPOT,16,Galpao,Setor 2,1,0,0
014-0001,CADEIRA AUDREY PARIS FERRO,CADEIRAS,6,Loja,Setor Comercial,0,0,0
014-0002,CADEIRA BASE CROMADA ASSENTO PRETO (ALTA),CADEIRAS,12,Loja,Area do Galpao,0,0,0
014-0003,CADEIRA BASE CROMADA ACENTO PRETO (BAIXA),CADEIRAS,18,Loja,Area da Entrada,1,0,0
014-0004,CADEIRA CINZA ESPREGUIÇADEIRA (QUEBRADA),CADEIRAS,1,Galpao,Setor 3,0,0,0
014-0005,CADEIRA DE BALANÇO RÚSTICO 02 LUGARES,CADEIRAS,2,Galpao,Setor 2,0,0,0
014-0006,CADEIRA DOURADA LUIS XV,CADEIRAS,2,Loja,Area do Galpao,0,0,0
014-0007,CADEIRA MEDALHÃO DOURADA/PRATA,CADEIRAS,14,Loja,Area do Galpao,0,0,0
014-0008,CADEIRA PÉ CROMADO BRANCA GIRATÓRIA,CADEIRAS,2,Loja,Area do Galpao,1,0,0
014-0009,CADEIRA PÉ CROMADO PRETA GIRATÓRIA,CADEIRAS,3,Loja,Sala Alberto Serruya,0,0,0
014-0010,CADEIRA RÚSTICA DE FERRO,CADEIRAS,7,Maison Blue,Maison Blue,0,0,0
014-0011,CADEIRA SAPATO PRETO E ROSA GIGANTE,CADEIRAS,1,Maison Blue,Maison Blue,0,0,0
014-0012,CADEIRA TIFFANY COR PEROLA,CADEIRAS,398,Loja,Area do Galpao,0,0,0
014-0013,CADEIRA TIFFANY DE IMBUIA,CADEIRAS,394,Galpao,Setor 3,0,0,0
